alpha,ssl,experiment,best_round,install_logloss,install_auc,click_logloss,click_auc,runtime_seconds,status
1.0,False,stage12_fed_nossl_alpha_1_0_seed42,10,0.2620268215836922,0.9082087874412537,0.2693122841266592,0.9076045155525208,20397.4935025,complete
1.0,True,stage12_fed_ssl_alpha_1_0_seed42,10,0.27439303566673534,0.8970500826835632,0.28571512554052625,0.8933445811271667,41460.686460000004,complete
0.5,False,stage12_fed_nossl_alpha_0_5_seed42,10,0.26553604847797624,0.9088817834854126,0.27119421469311195,0.9076564908027649,5226.764126500006,complete
0.5,True,stage12_fed_ssl_alpha_0_5_seed42,10,0.27390378597608317,0.899003267288208,0.28633809680909117,0.8942021727561951,63523.833771800004,complete
0.1,False,stage12_fed_nossl_alpha_0_1_seed42,7,0.287310071567868,0.8987398743629456,0.30570936704173984,0.9009566307067871,33560.5047659,complete
0.1,True,stage12_fed_ssl_alpha_0_1_seed42,9,0.30396452078086456,0.8891589641571045,0.34724628407156044,0.8902211785316467,64510.007314200004,complete
